"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0.25,0
"2",0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.125,0,0.125,0.125,0,0.125,0.125,0.125,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.25,0
"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.125,0.125,0,0.125,0,0,0.125,0,0.125
"5",0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0.25,0.5,0.25,0,0.25,0,0.25,0,0,0,0.125,0.125,0.25,0.25,0.375,0.125,0.125,0.375,0
"6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.125,0.125,0,0.125,0,0,0.125,0,0.125
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.125,0,0.125,0.125,0,0,0.125,0,0,0.125
"8",0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0.25,0,0,0.25,0.5,0.25,0.25,0,0.25,0.25,0.375,0.25,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.25
"9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.25,0,0.25,0,0.5,0,0.125,0.125,0,0,0,0,0.25,0.125,0,0.375
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
